strategy,rerank,n_queries,mrr,recall@1,recall@10,recall@3,recall@5,year_hit_rate@1,year_hit_rate@10,year_hit_rate@3,year_hit_rate@5
naive,False,12,0.4829,0.25,1.0,0.6667,0.75,0.25,0.3333,0.3611,0.3167
naive,True,12,0.5952,0.3333,1.0,0.9167,0.9167,0.3333,0.3,0.4444,0.35
metadata,False,12,0.5569,0.3333,1.0,0.75,0.8333,0.3333,0.4583,0.4722,0.45
metadata,True,12,0.6369,0.4167,1.0,0.9167,0.9167,0.4167,0.425,0.5278,0.45
vector,False,12,0.5569,0.3333,1.0,0.75,0.8333,0.3333,0.4583,0.4722,0.45
vector,True,12,0.6369,0.4167,1.0,0.9167,0.9167,0.4167,0.425,0.5278,0.45
hybrid,False,12,0.478,0.3333,0.9167,0.4167,0.75,0.3333,0.45,0.4444,0.4833
hybrid,True,12,0.6771,0.5833,0.9167,0.75,0.75,0.5833,0.4583,0.5,0.45
