strategy,rerank,n_queries,mrr,recall@1,recall@10,recall@3,recall@5,year_hit_rate@1,year_hit_rate@10,year_hit_rate@3,year_hit_rate@5
hybrid,False,12,0.5264,0.4167,0.8333,0.5833,0.8333,0.4167,0.4333,0.4167,0.4667
hybrid,True,12,0.5628,0.4167,0.8333,0.6667,0.6667,0.4167,0.4417,0.5278,0.4833
