strategy,rerank,n_queries,mrr,recall@1,recall@10,recall@3,recall@5,year_hit_rate@1,year_hit_rate@10,year_hit_rate@3,year_hit_rate@5
naive,False,12,0.2806,0.1667,0.5,0.3333,0.4167,0.1667,0.1917,0.1944,0.2333
naive,True,12,0.3264,0.25,0.5,0.3333,0.4167,0.3333,0.2167,0.25,0.2667
metadata,False,12,0.4472,0.3333,0.6667,0.5,0.5833,0.3333,0.3583,0.3611,0.4
metadata,True,12,0.4931,0.4167,0.6667,0.5,0.5833,0.5,0.375,0.4167,0.4167
vector,False,12,0.4472,0.3333,0.6667,0.5,0.5833,0.3333,0.3583,0.3611,0.4
vector,True,12,0.4931,0.4167,0.6667,0.5,0.5833,0.5,0.375,0.4167,0.4167
hybrid,False,12,0.5264,0.4167,0.8333,0.5833,0.8333,0.4167,0.4333,0.4167,0.4667
hybrid,True,12,0.5628,0.4167,0.8333,0.6667,0.6667,0.4167,0.4417,0.5278,0.4833
